Engine Torque Table for Vehicle POC,,
RPM,Torque,Fuel
0,370,0.001163632
700,400,0.001163632
800,416.7,0.001163632
900,458.3,0.001439853
1000,551.2,0.00192429
1100,640.8,0.002460355
1200,724.6,0.003035145
1300,758.1,0.003439935
1400,793.3,0.003876547
1500,794.1,0.004157841
1600,789.5,0.004440936
1700,787.3,0.004672139
1800,768.7,0.00482999
1900,752,0.004987844
2000,716.9,0.005004749
2100,686.5,0.005031951
2200,674.7,0.005181205
2300,636.4,0.005109029
2400,598.7,0.005109029
2500,552.1,0.005109029
2525,480,0.005109029
2700,0,0.005109029
